pd,pb
9.376339457804393207e-02,6.427672090484065626e-02
8.526052725543042943e-02,6.184532332073007510e-02
6.284817406539823514e-02,3.239956939302389427e-02
6.284817406539823514e-02,3.239956939302389427e-02
6.296234583943753627e-02,3.317707339886564327e-02
6.404420243494145237e-02,3.459598552881627126e-02
1.825091180608629238e-01,1.833697965220721648e-01
8.242033015257575757e-02,5.818647047488711976e-02
5.713255263847555332e-02,2.318915262341185793e-02
5.527327634715314270e-02,3.171606819048532894e-02
3.940446816841818717e-02,1.177632396583779342e-02
5.106995172828737717e-02,1.985581138078583441e-02
5.106995172828737717e-02,1.985581138078583441e-02
6.375960303308325638e-02,3.203398976419734312e-02
5.257107699022464664e-02,1.985108257681269389e-02
1.033857775050657235e-01,7.688477271116664347e-02
8.212388309694515498e-02,5.090617885729654957e-02
1.591742799958985877e-01,1.456479525328556734e-01
1.739289799358656463e-01,1.628782742409695672e-01
2.063485793910190269e-01,2.132323239757543121e-01
3.104815045169849186e-01,4.018185088546253891e-01
3.966351105223665519e-01,5.894305683155961484e-01
3.656802607028688534e-01,5.230946916437207994e-01
3.551860620934020885e-01,4.994775296880613058e-01
3.819769737326680903e-01,5.516715964397842509e-01
2.917190993179613612e-01,3.678896279791235568e-01
1.861586452871498154e-01,1.860499284494346595e-01
1.816125088169251167e-01,1.844347113714035480e-01
3.653931269857679798e-01,5.179505002156120641e-01
3.392819110707422925e-01,4.717996570395265876e-01
2.969399604002559978e-01,3.685535840308679645e-01
8.714586578665443894e-02,5.823090764437177658e-02
1.472973421738679456e-01,1.324925020022772737e-01
1.679598981305696348e-01,1.556352729305643667e-01
1.528485566849033805e-01,1.442444596005168500e-01
1.271640877423786675e-01,1.089202496840991491e-01
1.307232912861419349e-01,1.123171629200418464e-01
1.190737764427312051e-01,9.586638078291220832e-02
1.319463275065864971e-01,1.070852364014597408e-01
5.707911816007826822e-02,2.483079117418054288e-02
1.115159194763817724e-01,8.390076340334720606e-02
1.075744357094367276e-01,7.832498418371369731e-02
1.806838914559432963e-01,1.834630066070036536e-01
1.057162396755650380e-01,7.685478150846777878e-02
1.372394696459534325e-01,1.118740765902038331e-01
1.101934633967656396e-01,9.153427977795225434e-02
1.409946906896228647e-01,1.277503788687166519e-01
5.216493396414101369e-02,2.309362446159061305e-02
5.721811680831163927e-02,2.419220656450492626e-02
1.908903559474670053e-01,1.874451016038801154e-01
2.216419882913821526e-01,2.434600461442536501e-01
2.464903468559201949e-01,2.743902834727948714e-01
1.578044294904320521e-01,1.418646555274933607e-01
1.027395337848226037e-01,7.673848537506376688e-02
1.446837068372468227e-01,1.303642302211973636e-01
2.409096464151782302e-01,2.697180020772504405e-01
1.563882792747566253e-01,1.359141221072222572e-01
8.268305774065697056e-02,5.926742885761628055e-02
5.874169244817727120e-02,2.723801381544051908e-02
7.105041536528353130e-02,3.780458604727042482e-02
7.105041536528353130e-02,3.780458604727042482e-02
6.712484834968990288e-02,3.696504547762476806e-02
5.467505594026061261e-02,2.819316134402072987e-02
1.709216813964077319e-01,1.608804759620633962e-01
2.578223047891249342e-01,3.075353574276857849e-01
2.522063752793182734e-01,2.908165058097368916e-01
2.857035298719096672e-01,3.495205367860776957e-01
2.788135768812165516e-01,3.334494002350197883e-01
2.172786212218979218e-01,2.318471465514044816e-01
2.159606982022299337e-01,2.272539648319565897e-01
3.268081680868392125e-01,4.239613080838914305e-01
2.591795323912200466e-01,3.053526921596847465e-01
2.999839132605106595e-01,3.804387160760505093e-01
2.778166671909305663e-01,3.510257229973369197e-01
2.998986899812552398e-01,3.854062149244599222e-01
2.001193875633937025e-01,2.088542749662166687e-01
2.071789792785616036e-01,2.204467594085784687e-01
2.044836199018995049e-01,2.133719064108882124e-01
1.492356920479463445e-01,1.309117165317081888e-01
1.970439729465911782e-01,2.065611355232527258e-01
3.037847365971264035e-01,3.921979213939643660e-01
3.717031737281282222e-01,5.219549728313669368e-01
2.888508841529979776e-01,3.545716642593788603e-01
3.031750603334219529e-01,3.759518196171989235e-01
2.773474446888919975e-01,3.308793098893048623e-01
3.078994363337604345e-01,4.067698997251958937e-01
2.919700799449949091e-01,3.578736428112803125e-01
1.161894765381136646e-01,9.591993588183150843e-02
4.223190516447578036e-02,1.523015625434135517e-02
5.223231288601708211e-02,2.512487076263742597e-02
7.190232274085438247e-02,4.164929284923012121e-02
8.789009903511668664e-02,5.913961339368386388e-02
8.721018201517927171e-02,6.307524625279337105e-02
1.971874082432239772e-01,1.985725552323280296e-01
2.363629444393661738e-01,2.697710295472702247e-01
2.218174781822063735e-01,2.357293557362410696e-01
2.550672891297649514e-01,2.910341747833080084e-01
2.414860589461838292e-01,2.721747559020767371e-01
2.965268127227186357e-01,3.689819477929097147e-01
3.093196429842000605e-01,3.877070255350458239e-01
3.190213379752085410e-01,4.069483748650074562e-01
3.815034591373511197e-01,5.556895592167711007e-01
3.458319697845053109e-01,4.649417931557913164e-01
3.283588458522582743e-01,4.283033363003055927e-01
2.722846078149324667e-01,3.203976687777690402e-01
2.013126877886365074e-01,2.127665942247540520e-01
2.481280627856333743e-01,2.873226081743586735e-01
2.406547409034729967e-01,2.671264521215967469e-01
2.767615346895393458e-01,3.261247919404165474e-01
2.123333817037123539e-01,2.348788130670128316e-01
2.551964178368135716e-01,2.881198114174038927e-01
1.900255499505670298e-01,1.983116073508219002e-01
6.609808601303024389e-02,3.489647525844106341e-02
6.525555051991643873e-02,3.256304965861864242e-02
1.018863444017550357e-01,7.901581868278130527e-02
2.905454871815155854e-02,1.588594602975612613e-04
8.910359150062077682e-02,6.213955209033313054e-02
1.152001215073897161e-01,8.725736136512564356e-02
1.436762598718934747e-01,1.250602746277661992e-01
1.313933095539979168e-01,1.105137898941564167e-01
1.279714770370260490e-01,1.186577623299290285e-01
8.425032656621134208e-02,5.525771637553575366e-02
